出人头地	cug4 nang5 tao5 di7
出奇制胜	cug4 ki5 zi3 sêng3
出类拔萃	cug4 lui7 buêg8 zui6
出尔反尔	cug4 re2 huêng2 re2
出租	cug4 zou1
出世	cug4 si3
出身	cug4 sing1
出气	cug4 ki3
出声	cug4 sian1
出色	cug4 sêg4
出缺	cug4 kuêh4
出门	cug4 mung5
出路	cug4 lou7
出超	cug4 tieu3
出处	cug4 cu3
出发	cug4 huêg4
出入	cug4 rib8
出现	cug4 hing7
出去	cug4 ke3
出事	cug4 se7
出产	cug4 suan2
出榜	cug4 bang2
出版	cug4 bang2
臭味相投	cao3 bhi7 siang1 dao5
臭名昭著	cao3 mian5 zieu1 du3
老丑	lao6 tiu2
小丑	siou2 tiu2
丑角	tiu2 gag4
丝绸	si1 diu5
绸缎	diu5 deng7
仇视	ciu5 si6
仇家	ciu5 gê1
仇恨	ciu5 heng6
仇人	ciu5 ring5
仇敌	ciu5 dêg8
酬宾	ciu5 bing1
酬金	ciu5 gim1
酬神	ciu5 sing5
酬谢	ciu5 sia7
酬答	ciu5 dab4
筹办	tiu5 poin7
筹款	tiu5 kuêng2
筹建	tiu5 giêng3
筹集	tiu5 zib8
筹资	tiu5 ze1
筹码	tiu5 bhê2
筹划	tiu5 uêh8
筹备	tiu5 bi6
踌躇满志	tiu5 tu5 muan2 zi3
抽筋	tiu1 geng1
抽调	tiu1 dieu7
抽奖	tiu1 ziang3
抽签	tiu1 ciem1
抽查	tiu1 cê5
宠爱	tong2 ain3
重整旗鼓	dêng5 zian2 gi5 gou2
重见天日	dêng5 giêng3 tiêng1 rig8
重蹈覆辙	dêng5 dao6 hog8 tiêg4
重婚	dêng5 hung1
重合	dêng5 hah8
重复	dêng5 hog8
重叠	dêng5 tah8
冲撞	cong1 zuang6
冲进	cong1 zing3
冲锋	cong1 hong1
冲凉	cong1 liang5
冲击	cong1 kêg4
冲刺	cong1 ci3
冲泡	cong1 pao3
冲突	cong1 dug8
冲喜	cong1 hi2
冲洗	cong1 soi2
冲淡	cong1 dan6
充耳不闻	cong1 re2 bug4 bhung6
充裕	cong1 ru6
充血	cong1 huêh4
充气	cong1 ki3
充电宝	cong1 diêng6 bo2
充足	cong1 zog4
充话费	cong1 uê7 hui3
充实	cong1 sig8
充电器	cong1 diêng6 ki3
充值	cong1 dag8
充满	cong1 muan2
充军	cong1 gung1
充分	cong1 hung7
充斥	cong1 cêg4
饬令	têg4 lêng6
斥责	cêg4 zêh4
斥候	cêg4 hao7
赤手空拳	ciah4 ciu2 kong1 kung5
赤胆忠心	ciah4 dan2 dong1 sim1
赤字	ciah4 ri7
赤道	ciah4 dao6
老缚	lao6 bag8
他们	ta1 mung5
我们	ua2 mung5
你们	le2 mung5
小气	siou2 ki3
尺码	ciêh4 bhê2
尺牍	ciêh4 dog8
尺寸	ciêh4 cung3
齿龈	ki2 ngeng5
齿轮	ki2 lung5
耻辱	ci2 rog8
驰名	ci5 mian5
迟暮	ci5 mo6
迟缓	ci5 huêng2
迟早	ci5 za2
迟钝	ci5 dung6
迟点	ci5 diem2
迟疑	ci5 ghi5
迟到	ci5 gao3
持之有故	ti5 ze1 u6 gu3
持刀	ti5 do1
持续	ti5 sog8
持久	ti5 gu2
吃香	ngeg4 hiang1
吃水	ngeg4 zui2
吃苦	ngeg4 kou2
吃紧	ngeg4 ging2
痴呆	ci1 ngai5
惩一儆百	têng2 zêg8 gêng6 bêh4
惩戒	têng2 gai3
惩罚	têng2 huêg8
承诺	sing5 nab8
承担	sing5 dan1
承办	sing5 poin7
乘人之危	sêng6 nang5 ze1 nguin5
乘积	sêng5 zêh4
乘方	sêng5 bang1
乘务员	sêng6 bhu6 uêng5
乘坐	sêng6 zo6
乘法	sêng5 huab4
程序员	tian5 su6 uêng5
程序	tian5 su6
程度	tian5 dou7
呈文	tian5 bhung5
呈请	tian5 cian2
呈报	tian5 bo3
城镇	sian5 ding3
城乡	sian5 hiên1
城堡	sian5 bao2
城外	sian5 ghua7
城区	sian5 ku1
城市	sian5 ci6
城墙	sian5 ciên5
城楼	sian5 lao5
诚意	sêng5 i3
成熟	sêng5 sêg8
诚恳	sêng5 keng2
成竹在胸	sêng5 dêg4 do6 hêng1
成人之美	sêng5 nang5 ze1 mui2
成员	sêng5 uêng5
成语	sêng5 ghe2
成药	sêng5 iêh8
成熟	sêng5 sêg8
成年	sêng5 ni5
成就	sêng5 ziu6
成见	sêng5 giêng3
成绩	sêng5 zêh4
成果	sêng5 guê2
成分	sêng5 hung7
称兄道弟	cêng1 hian1 dao6 di6
称谓	cêng1 ui6
称雄	cêng1 hiong5
称霸	cêng1 ba3
称道	cêng1 dao6
称赞	cêng1 zang3
称号	cêng1 ho7
称呼	cêng1 hu1
瞠乎其后	têng5 hu1 ki5 ao6
趁热打铁	ziêng2 riêg8 da2 tih4
称职	cing3 zêh4
称心	cêng3 sim1
陈规陋习	ting5 gui1 lou6 sib8
陈词滥调	ting5 se5 lam6 dieu7
陈述	ding5 sug8
陈设	ding5 siêg4
陈迹	ding5 ziah4
陈列	ding5 liêg8
沉默寡言	dim5 mig8 gua2 ngang5
沉着	dim5 diêh4
沉香	dim5 hiên1
沉寂	dim5 sog4
掣肘	zi3 diu2
彻头彻尾	tiêg4 tao5 tiêg4 bhuê2
彻底	tiêg4 di2
猪骹冻	de1 ka1 dang3
撤职	tiêg4 zêh4
撤回	tiêg4 huê5
